"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","sim_ticks","num_cycles","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"blackscholes","256kB","8","LRU","2","2","106753800500","213507601","4.79021","0.350435","1.73849","0.37118","1.46875","1.150172","0.033152","0.002098859","0.00044812300000000003","0.253097","0.003872","6190","0.9963595000000001","1.0","9848"
"blackscholes","512kB","8","LRU","2","2","106753784500","213507569","6.0373","0.392398","1.73957","0.371412","1.7442","2.39726","0.0751148","0.00318683","0.000680412","0.52855","0.0031999999999999997","4179","0.9971464999999999","0.9993375","8183"
"blackscholes","1MB","8","LRU","2","2","106753886000","213507772","8.53152","0.480438","1.74128","0.371778","2.2959","4.89148","0.1631548","0.00489965","0.001046114","1.08025","0.002686","2901","0.9991085","0.9996985","7800"
"blackscholes","2MB","8","LRU","2","2","106753580500","213507161","12.0949","0.525901","1.74374","0.372301","3.06693","8.45484","0.208618","0.0073521","0.0015697279999999998","1.85128","0.0023625","2371","1.0","1.0","7601"
"blackscholes","4MB","8","LRU","2","2","106753580500","213507161","20.6516","0.728504","1.74677","0.372948","4.93775","17.01154","0.41122","0.01038312","0.00221687","3.7221","0.0022805","1868","1.0","1.0","7077"
"blackscholes","8MB","8","LRU","2","2","106753580500","213507161","36.7801","1.06368","1.75133","0.373921","8.45384","33.14","0.746394","0.014938139999999999","0.0031894000000000002","7.23819","0.0022295","969","1.0","1.0","6319"
"bodytrack","256kB","8","LRU","2","2","184947729000","369775330","4.79021","0.350435","1.44594","0.534674","2.43556","1.150172","0.033152","0.00750292","0.00277439","0.440338","0.116249","935129","0.992787","0.9971595","1512474"
"bodytrack","512kB","8","LRU","2","2","184947729000","369775330","6.0373","0.392398","1.44893","0.535778","2.91332","2.39726","0.0751148","0.01048955","0.00387878","0.9181010000000001","0.057093000000000005","373611","0.9941095","0.9983694999999999","740726"
"bodytrack","1MB","8","LRU","2","2","184947729000","369775330","8.53152","0.480438","1.45394","0.537631","3.87003","4.89148","0.1631548","0.01549741","0.00573056","1.87481","0.034841500000000004","182603","0.9988904999999999","0.999044","444373"
"bodytrack","2MB","8","LRU","2","2","184947505000","369774882","12.0949","0.525901","1.46146","0.54041","5.20726","8.45484","0.208618","0.02301298","0.008509619999999999","3.21204","0.024534","104034","0.999798","0.9995765","308429"
"bodytrack","4MB","8","LRU","2","2","184947281000","369774434","20.6516","0.728504","1.47087","0.543892","8.4497","17.01154","0.41122","0.0324296","0.01199164","6.45448","0.0204555","65976","0.999876","0.999917","249606"
"bodytrack","8MB","8","LRU","2","2","184947281000","369774434","36.7801","1.06368","1.48492","0.549086","14.5427","33.14","0.746394","0.046477199999999996","0.01718608","12.547529999999998","0.017410000000000002","27284","1.0","1.0","192561"
"canneal","256kB","8","LRU","2","2","72778632000","145555482","4.79021","0.350435","1.37023","0.199445","0.947695","1.150172","0.033152","0.0318598","0.00463737","0.1768766","0.7164275","5615855","0.998448","0.9980125","7951607"
