"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","sim_ticks","num_cycles","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"blackscholes","256kB","8","LRU","2","2","106753800500","213507601","0.003872","6190","0.9963595000000001","1.0","9848"
"blackscholes","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"bodytrack","256kB","8","LRU","2","2","184947729000","369775330","0.116249","935129","0.992787","0.9971595","1512474"
"bodytrack","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"canneal","256kB","8","LRU","2","2","72778632000","145555482","0.7164275","5615855","0.998448","0.9980125","7951607"
"canneal","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"dedup","256kB","8","LRU","2","2","511563057000","1022496854","0.209858","4045247","0.992672","0.9938210000000001","5772862"
"dedup","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"facesim","256kB","8","LRU","2","2","3375346063000","6750692833","0.5738495","145673717","0.9998635","0.9998485","228388765"
"facesim","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"ferret","256kB","8","LRU","2","2","462846140000","925692714","0.248584","3943495","0.9929595","0.995563","6435701"
"ferret","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"fluidanimate","256kB","8","LRU","2","2","261556791500","523112480","0.5436395","1329566","0.9915339999999999","0.9976735000000001","2334060"
"fluidanimate","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"freqmine","256kB","8","LRU","2","2","1332521706000","2665043916","0.7345889999999999","5250365","0.9992725","0.999387","56063295"
"freqmine","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"streamcluster","256kB","8","LRU","2","2","399404442000","796912550","0.6707475","16430181","0.9906565","0.9869955","29207492"
"streamcluster","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"swaptions","256kB","8","LRU","2","2","163110020500","326220042","0.0228125","19392","0.992642","0.999214","174831"
"swaptions","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"vips","256kB","8","LRU","2","2","715642047500","1431284386","0.565168","12955583","0.998386","0.99848","19973777"
"vips","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
"x264","256kB","8","LRU","2","2","2079267501000","4158379102","0.2302505","8371981","0.9969785","0.9978825","12056368"
"x264","256kB","8","IbRDP","2","2","-1","-1","-1","-1","-1","-1","-1"
