src,dst,curr,next_hop
0,1,0,0
0,1,0,1
0,2,0,0
0,2,0,1
0,2,1,2
0,3,0,0
0,3,0,1
0,3,1,2
0,3,2,3
0,4,0,0
0,4,0,1
0,4,1,2
0,4,2,3
0,4,3,4
0,5,0,0
0,5,0,1
0,5,1,2
0,5,2,3
0,5,3,4
0,5,4,5
0,6,0,0
0,6,0,1
0,6,1,2
0,6,2,3
0,6,3,4
0,6,4,5
0,6,5,6
0,7,0,0
0,7,0,1
0,7,1,2
0,7,2,3
0,7,3,4
0,7,4,5
0,7,5,6
0,7,6,7
0,8,0,0
0,8,0,8
0,9,0,0
0,9,0,1
0,9,1,9
0,10,0,0
0,10,0,1
0,10,1,2
0,10,2,10
0,11,0,0
0,11,0,1
0,11,1,2
0,11,2,3
0,11,3,11
0,12,0,0
0,12,0,1
0,12,1,2
0,12,2,3
0,12,3,4
0,12,4,12
0,13,0,0
0,13,0,1
0,13,1,2
0,13,2,3
0,13,3,4
0,13,4,5
0,13,5,13
0,14,0,0
0,14,0,1
0,14,1,2
0,14,2,3
0,14,3,4
0,14,4,5
0,14,5,6
0,14,6,14
0,15,0,0
0,15,0,1
0,15,1,2
0,15,2,3
0,15,3,4
0,15,4,5
0,15,5,6
0,15,6,7
0,15,7,15
0,16,0,0
0,16,0,8
0,16,8,16
0,17,0,0
0,17,0,1
0,17,1,9
0,17,9,17
0,18,0,0
0,18,0,1
0,18,1,2
0,18,2,10
0,18,10,18
0,19,0,0
0,19,0,1
0,19,1,2
0,19,2,3
0,19,3,11
0,19,11,19
0,20,0,0
0,20,0,1
0,20,1,2
0,20,2,3
0,20,3,4
0,20,4,12
0,20,12,20
0,21,0,0
0,21,0,1
0,21,1,2
0,21,2,3
0,21,3,4
0,21,4,5
0,21,5,13
0,21,13,21
0,22,0,0
0,22,0,1
0,22,1,2
0,22,2,3
0,22,3,4
0,22,4,5
0,22,5,6
0,22,6,14
0,22,14,22
0,23,0,0
0,23,0,1
0,23,1,2
0,23,2,3
0,23,3,4
0,23,4,5
0,23,5,6
0,23,6,7
0,23,7,15
0,23,15,23
0,24,0,0
0,24,0,8
0,24,8,16
0,24,16,24
0,25,0,0
0,25,0,1
0,25,1,9
0,25,9,17
0,25,17,25
0,26,0,0
0,26,0,1
0,26,1,2
0,26,2,10
0,26,10,18
0,26,18,26
0,27,0,0
0,27,0,1
0,27,1,2
0,27,2,3
0,27,3,11
0,27,11,19
0,27,19,27
0,28,0,0
0,28,0,1
0,28,1,2
0,28,2,3
0,28,3,4
0,28,4,12
0,28,12,20
0,28,20,28
0,29,0,0
0,29,0,1
0,29,1,2
0,29,2,3
0,29,3,4
0,29,4,5
0,29,5,13
0,29,13,21
0,29,21,29
0,30,0,0
0,30,0,1
0,30,1,2
0,30,2,3
0,30,3,4
0,30,4,5
0,30,5,6
0,30,6,14
0,30,14,22
0,30,22,30
0,31,0,0
0,31,0,1
0,31,1,2
0,31,2,3
0,31,3,4
0,31,4,5
0,31,5,6
0,31,6,7
0,31,7,15
0,31,15,23
0,31,23,31
0,32,0,0
0,32,0,8
0,32,8,16
0,32,16,24
0,32,24,32
0,33,0,0
0,33,0,1
0,33,1,9
0,33,9,17
0,33,17,25
0,33,25,33
0,34,0,0
0,34,0,1
0,34,1,2
0,34,2,10
0,34,10,18
0,34,18,26
0,34,26,34
0,35,0,0
0,35,0,1
0,35,1,2
0,35,2,3
0,35,3,11
0,35,11,19
0,35,19,27
0,35,27,35
0,36,0,0
0,36,0,1
0,36,1,2
0,36,2,3
0,36,3,4
0,36,4,12
0,36,12,20
0,36,20,28
0,36,28,36
0,37,0,0
0,37,0,1
0,37,1,2
0,37,2,3
0,37,3,4
0,37,4,5
0,37,5,13
0,37,13,21
0,37,21,29
0,37,29,37
0,38,0,0
0,38,0,1
0,38,1,2
0,38,2,3
0,38,3,4
0,38,4,5
0,38,5,6
0,38,6,14
0,38,14,22
0,38,22,30
0,38,30,38
0,39,0,0
0,39,0,1
0,39,1,2
0,39,2,3
0,39,3,4
0,39,4,5
0,39,5,6
0,39,6,7
0,39,7,15
0,39,15,23
0,39,23,31
0,39,31,39
0,40,0,0
0,40,0,8
0,40,8,16
0,40,16,24
0,40,24,32
0,40,32,40
0,41,0,0
0,41,0,1
0,41,1,9
0,41,9,17
0,41,17,25
0,41,25,33
0,41,33,41
0,42,0,0
0,42,0,1
0,42,1,2
0,42,2,10
0,42,10,18
0,42,18,26
0,42,26,34
0,42,34,42
0,43,0,0
0,43,0,1
0,43,1,2
0,43,2,3
0,43,3,11
0,43,11,19
0,43,19,27
0,43,27,35
0,43,35,43
0,44,0,0
0,44,0,1
0,44,1,2
0,44,2,3
0,44,3,4
0,44,4,12
0,44,12,20
0,44,20,28
0,44,28,36
0,44,36,44
0,45,0,0
0,45,0,1
0,45,1,2
0,45,2,3
0,45,3,4
0,45,4,5
0,45,5,13
0,45,13,21
0,45,21,29
0,45,29,37
0,45,37,45
0,46,0,0
0,46,0,1
0,46,1,2
0,46,2,3
0,46,3,4
0,46,4,5
0,46,5,6
0,46,6,14
0,46,14,22
0,46,22,30
0,46,30,38
0,46,38,46
0,47,0,0
0,47,0,1
0,47,1,2
0,47,2,3
0,47,3,4
0,47,4,5
0,47,5,6
0,47,6,7
0,47,7,15
0,47,15,23
0,47,23,31
0,47,31,39
0,47,39,47
0,48,0,0
0,48,0,8
0,48,8,16
0,48,16,24
0,48,24,32
0,48,32,40
0,48,40,48
0,49,0,0
0,49,0,1
0,49,1,9
0,49,9,17
0,49,17,25
0,49,25,33
0,49,33,41
0,49,41,49
0,50,0,0
0,50,0,1
0,50,1,2
0,50,2,10
0,50,10,18
0,50,18,26
0,50,26,34
0,50,34,42
0,50,42,50
0,51,0,0
0,51,0,1
0,51,1,2
0,51,2,3
0,51,3,11
0,51,11,19
0,51,19,27
0,51,27,35
0,51,35,43
0,51,43,51
0,52,0,0
0,52,0,1
0,52,1,2
0,52,2,3
0,52,3,4
0,52,4,12
0,52,12,20
0,52,20,28
0,52,28,36
0,52,36,44
0,52,44,52
0,53,0,0
0,53,0,1
0,53,1,2
0,53,2,3
0,53,3,4
0,53,4,5
0,53,5,13
0,53,13,21
0,53,21,29
0,53,29,37
0,53,37,45
0,53,45,53
0,54,0,0
0,54,0,1
0,54,1,2
0,54,2,3
0,54,3,4
0,54,4,5
0,54,5,6
0,54,6,14
0,54,14,22
0,54,22,30
0,54,30,38
0,54,38,46
0,54,46,54
0,55,0,0
0,55,0,1
0,55,1,2
0,55,2,3
0,55,3,4
0,55,4,5
0,55,5,6
0,55,6,7
0,55,7,15
0,55,15,23
0,55,23,31
0,55,31,39
0,55,39,47
0,55,47,55
0,56,0,0
0,56,0,8
0,56,8,16
0,56,16,24
0,56,24,32
0,56,32,40
0,56,40,48
0,56,48,56
0,57,0,0
0,57,0,1
0,57,1,9
0,57,9,17
0,57,17,25
0,57,25,33
0,57,33,41
0,57,41,49
0,57,49,57
0,58,0,0
0,58,0,1
0,58,1,2
0,58,2,10
0,58,10,18
0,58,18,26
0,58,26,34
0,58,34,42
0,58,42,50
0,58,50,58
0,59,0,0
0,59,0,1
0,59,1,2
0,59,2,3
0,59,3,11
0,59,11,19
0,59,19,27
0,59,27,35
0,59,35,43
0,59,43,51
0,59,51,59
0,60,0,0
0,60,0,1
0,60,1,2
0,60,2,3
0,60,3,4
0,60,4,12
0,60,12,20
0,60,20,28
0,60,28,36
0,60,36,44
0,60,44,52
0,60,52,60
0,61,0,0
0,61,0,1
0,61,1,2
0,61,2,3
0,61,3,4
0,61,4,5
0,61,5,13
0,61,13,21
0,61,21,29
0,61,29,37
0,61,37,45
0,61,45,53
0,61,53,61
0,62,0,0
0,62,0,1
0,62,1,2
0,62,2,3
0,62,3,4
0,62,4,5
0,62,5,6
0,62,6,14
0,62,14,22
0,62,22,30
0,62,30,38
0,62,38,46
0,62,46,54
0,62,54,62
0,63,0,0
0,63,0,1
0,63,1,2
0,63,2,3
0,63,3,4
0,63,4,5
0,63,5,6
0,63,6,7
0,63,7,15
0,63,15,23
0,63,23,31
0,63,31,39
0,63,39,47
0,63,47,55
0,63,55,63
1,0,1,1
1,0,1,0
1,2,1,1
1,2,1,2
1,3,1,1
1,3,1,2
1,3,2,3
1,4,1,1
1,4,1,2
1,4,2,3
1,4,3,4
1,5,1,1
1,5,1,2
1,5,2,3
1,5,3,4
1,5,4,5
1,6,1,1
1,6,1,2
1,6,2,3
1,6,3,4
1,6,4,5
1,6,5,6
1,7,1,1
1,7,1,2
1,7,2,3
1,7,3,4
1,7,4,5
1,7,5,6
1,7,6,7
1,8,1,1
1,8,1,0
1,8,0,8
1,9,1,1
1,9,1,9
1,10,1,1
1,10,1,2
1,10,2,10
1,11,1,1
1,11,1,2
1,11,2,3
1,11,3,11
1,12,1,1
1,12,1,2
1,12,2,3
1,12,3,4
1,12,4,12
1,13,1,1
1,13,1,2
1,13,2,3
1,13,3,4
1,13,4,5
1,13,5,13
1,14,1,1
1,14,1,2
1,14,2,3
1,14,3,4
1,14,4,5
1,14,5,6
1,14,6,14
1,15,1,1
1,15,1,2
1,15,2,3
1,15,3,4
1,15,4,5
1,15,5,6
1,15,6,7
1,15,7,15
1,16,1,1
1,16,1,0
1,16,0,8
1,16,8,16
1,17,1,1
1,17,1,9
1,17,9,17
1,18,1,1
1,18,1,2
1,18,2,10
1,18,10,18
1,19,1,1
1,19,1,2
1,19,2,3
1,19,3,11
1,19,11,19
1,20,1,1
1,20,1,2
1,20,2,3
1,20,3,4
