src,dst,curr,next_hop
0,1,0,1
0,2,0,1
0,2,1,2
0,3,0,1
0,3,1,2
0,3,2,3
0,4,0,4
0,5,0,1
0,5,1,5
0,6,0,1
0,6,1,2
0,6,2,6
0,7,0,1
0,7,1,2
0,7,2,3
0,7,3,7
0,8,0,4
0,8,4,8
0,9,0,1
0,9,1,5
0,9,5,9
0,10,0,1
0,10,1,2
0,10,2,6
0,10,6,10
0,11,0,1
0,11,1,2
0,11,2,3
0,11,3,7
0,11,7,11
0,12,0,4
0,12,4,8
0,12,8,12
0,13,0,1
0,13,1,5
0,13,5,9
0,13,9,13
0,14,0,1
0,14,1,2
0,14,2,6
0,14,6,10
0,14,10,14
0,15,0,1
0,15,1,2
0,15,2,3
0,15,3,7
0,15,7,11
0,15,11,15
0,16,0,1
0,16,1,64
0,16,64,68
0,16,68,17
0,16,17,16
0,17,0,1
0,17,1,64
0,17,64,68
0,17,68,17
0,18,0,1
0,18,1,64
0,18,64,68
0,18,68,17
0,18,17,21
0,18,21,22
0,18,22,18
0,19,0,1
0,19,1,64
0,19,64,68
0,19,68,17
0,19,17,21
0,19,21,22
0,19,22,23
0,19,23,19
0,20,0,1
0,20,1,64
0,20,64,68
0,20,68,17
0,20,17,16
0,20,16,20
0,21,0,1
0,21,1,64
0,21,64,68
0,21,68,17
0,21,17,21
0,22,0,1
0,22,1,64
0,22,64,68
0,22,68,17
0,22,17,21
0,22,21,22
0,23,0,1
0,23,1,64
0,23,64,68
0,23,68,17
0,23,17,21
0,23,21,22
0,23,22,23
0,24,0,1
0,24,1,64
0,24,64,68
0,24,68,17
0,24,17,16
0,24,16,20
0,24,20,24
0,25,0,1
0,25,1,64
0,25,64,68
0,25,68,17
0,25,17,21
0,25,21,25
0,26,0,1
0,26,1,64
0,26,64,68
0,26,68,17
0,26,17,21
0,26,21,22
0,26,22,26
0,27,0,1
0,27,1,64
0,27,64,68
0,27,68,17
0,27,17,21
0,27,21,22
0,27,22,23
0,27,23,27
0,28,0,1
0,28,1,64
0,28,64,68
0,28,68,17
0,28,17,16
0,28,16,20
0,28,20,24
0,28,24,28
0,29,0,1
0,29,1,64
0,29,64,68
0,29,68,17
0,29,17,21
0,29,21,25
0,29,25,29
0,30,0,1
0,30,1,64
0,30,64,68
0,30,68,17
0,30,17,21
0,30,21,22
0,30,22,26
0,30,26,30
0,31,0,1
0,31,1,64
0,31,64,68
0,31,68,17
