src,dst,curr,next_hop
0,1,0,1
0,2,0,1
0,2,1,2
0,3,0,1
0,3,1,2
0,3,2,3
0,4,0,4
0,5,0,1
0,5,1,5
0,6,0,1
0,6,1,2
0,6,2,6
0,7,0,1
0,7,1,2
0,7,2,3
0,7,3,7
0,8,0,4
0,8,4,8
0,9,0,1
0,9,1,5
0,9,5,9
0,10,0,1
0,10,1,2
0,10,2,6
0,10,6,10
0,11,0,1
0,11,1,2
0,11,2,3
0,11,3,7
0,11,7,11
0,12,0,4
0,12,4,8
0,12,8,12
0,13,0,1
0,13,1,5
0,13,5,9
0,13,9,13
0,14,0,1
0,14,1,2
0,14,2,6
0,14,6,10
0,14,10,14
0,15,0,1
0,15,1,2
0,15,2,3
0,15,3,7
0,15,7,11
0,15,11,15
1,0,1,0
1,2,1,2
1,3,1,2
1,3,2,3
1,4,1,0
1,4,0,4
1,5,1,5
1,6,1,2
1,6,2,6
1,7,1,2
1,7,2,3
1,7,3,7
1,8,1,0
1,8,0,4
1,8,4,8
1,9,1,5
1,9,5,9
1,10,1,2
1,10,2,6
1,10,6,10
1,11,1,2
1,11,2,3
1,11,3,7
1,11,7,11
1,12,1,0
1,12,0,4
1,12,4,8
1,12,8,12
1,13,1,5
1,13,5,9
1,13,9,13
1,14,1,2
1,14,2,6
1,14,6,10
1,14,10,14
1,15,1,2
1,15,2,3
1,15,3,7
1,15,7,11
1,15,11,15
2,0,2,1
2,0,1,0
2,1,2,1
2,3,2,3
2,4,2,1
2,4,1,0
2,4,0,4
2,5,2,1
2,5,1,5
2,6,2,6
2,7,2,3
2,7,3,7
2,8,2,1
2,8,1,0
2,8,0,4
2,8,4,8
2,9,2,1
2,9,1,5
2,9,5,9
2,10,2,6
2,10,6,10
2,11,2,3
2,11,3,7
2,11,7,11
2,12,2,1
2,12,1,0
2,12,0,4
2,12,4,8
2,12,8,12
2,13,2,1
2,13,1,5
2,13,5,9
2,13,9,13
2,14,2,6
2,14,6,10
2,14,10,14
2,15,2,3
2,15,3,7
2,15,7,11
2,15,11,15
3,0,3,2
3,0,2,1
3,0,1,0
3,1,3,2
3,1,2,1
3,2,3,2
3,4,3,2
3,4,2,1
3,4,1,0
3,4,0,4
3,5,3,2
3,5,2,1
3,5,1,5
3,6,3,2
3,6,2,6
3,7,3,7
3,8,3,2
3,8,2,1
3,8,1,0
3,8,0,4
3,8,4,8
3,9,3,2
3,9,2,1
