l34c64l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l34c64l2b: 9 11 19 29 43 62 81 102
l34c64l4b: 6 8 12 17 24 29 39 47
l34c64l8b: 7 8 10 14 18 22 25 30
l34c64l16b: 7 7 9 12 14 17 20 24
l34c64l32b: 7 7 9 12 14 17 20 24 -r
l34c64l64b: 7 7 9 12 14 17 20 24 -r
l34c128l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l34c128l2b: 4 10 19 30 44 64 82 103
l34c128l4b: 3 6 11 17 24 31 38 47
l34c128l8b: 3 5 9 13 17 21 25 29
l34c128l16b: 4 5 7 10 13 16 19 22
l34c128l32b: 4 5 7 10 13 16 19 22 -r
l34c128l64b: 4 5 7 10 13 16 19 22 -r
l34c256l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l34c256l2b: 3 10 19 30 44 63 82 103
l34c256l4b: 3 6 11 17 24 31 38 47
l34c256l8b: 2 5 8 12 16 20 24 29
l34c256l16b: 2 4 7 9 12 15 18 21
l34c256l32b: 2 4 7 9 12 15 18 21 -r
l34c256l64b: 2 4 7 9 12 15 18 21 -r
l38c64l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l38c64l2b: 57 59 77 90 137 187 219 245
l38c64l4b: 35 40 48 56 43 61 80 101
l38c64l8b: 18 27 41 45 52 58 58 58  -r
l38c64l16b: 16 17 19 35 40 49 53 53 -r
l38c64l32b: 15 15 17 19 22 25 30 30 -r
l38c64l64b: 15 15 17 19 22 25 30 30 -r
l38c128l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l38c128l2b: 38 50 78 93 139 188 220 245
l38c128l4b: 29 37 46 56 43 61 81 102
l38c128l8b: 16 30 39 44 50 57 57 57 -r
l38c128l16b: 14 16 19 33 40 47 52 52 -r
l38c128l32b: 14 15 17 20 23 27 31 31 -r
l38c128l64b: 14 15 17 20 23 27 31 31 -r
l38c256l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l38c256l2b: 35 50 78 94 139 188 220 246 
l38c256l4b: 28 36 45 55 55 61 81 102
l38c256l8b: 17 30 38 43 50 57 57 57 -r
l38c256l16b: 15 17 21 32 40 47 51 51
l38c256l32b: 15 17 19 21 24 29 33 33
l38c256l64b: 15 17 19 21 24 29 33 33 -r
l316c64l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l316c64l2b: 1000 1000 1000 1000 1000 1000 1000 1000
l316c64l4b: 34 35 78 126 178 220 252 274
l316c64l8b: 9 11 23 43 62 87 105 130
l316c64l16b: 7 9 13 23 33 45 56 67
l316c64l32b: 5 6 7 10 13 19 25 30
l316c64l64b: 4 5 6 8 10 14 18 21
l316c128l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l316c128l2b: 25 131 243 1000 1000 1000 1000 1000
l316c128l4b: 8 28 79 127 179 221 253 274
l316c128l8b: 4 9 22 43 62 88 106 131
l316c128l16b: 4 6 11 21 32 44 55 67
l316c128l32b: 4 6 11 12 12 18 24 29
l316c128l64b: 2 3 5 7 9 13 17 21
l316c256l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l316c256l2b: 1000 1000 1000 1000 1000 1000 1000 1000
l316c256l4b: 5 28 80 128 180 221 253 274
l316c256l8b: 3 8 22 43 63 88 107 131
l316c256l16b: 2 5 11 21 32 44 55 67
l316c256l32b: 2 3 5 8 12 18 24 29
l316c256l64b: 2 3 4 6 9 13 17 21
l24c64l1b: 1000 1000 1000 1000 1000 1000 1000 1000
l24c64l2b: 10 12 24 41 60 86 105 122
l24c64l4b: 5 7 13 20 29 38 47 56
l24c64l8b: 5 6 9 14 18 24 29 35
l24c64l16b: 4 5 7 10 12 16 19 22
l24c64l32b: 5 5 6 8 10 12 14 17
l24c64l64b: 5 5 6 8 10 12 14 16
