
---------- Begin Simulation Statistics ----------
simSeconds                                   2.372079                       # Number of seconds simulated (Second)
simTicks                                 2372079306500                       # Number of ticks simulated (Tick)
finalTick                                2372079306500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   5984.71                       # Real time elapsed on the host (Second)
hostTickRate                                396356715                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1231868                       # Number of bytes of host memory used (Byte)
simInsts                                   3441222909                       # Number of instructions simulated (Count)
simOps                                     3441223203                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   575003                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     575003                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                       4744158740                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.378626                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.725360                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      3442812730                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  8433858                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     3445795657                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 714646                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10023384                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           7482609                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                1521                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples          4743191563                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.426427                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.600207                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                2983156373     62.89%     62.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                1509152058     31.82%     94.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                 239174365      5.04%     99.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  11708738      0.25%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                        27      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                         1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 6                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total            4743191563                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                     37      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   23480      0.04%      0.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult             40394700     60.77%     60.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc          26005665     39.12%     99.92% # attempts to use FU when none available (Count)
