"bench","l2_size","l2_assoc","l2_tags","num_threads","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements"
"blackscholes","256kB","8","LRU","4","106754214000","213508428","1.0","4.21513","0.333859","1.73848","0.371179","1.34243","0.575086","0.016576","0.00209248","0.000446763","0.126772","0.003965","7957"
"blackscholes","512kB","8","LRU","4","106754214000","213508428","1.0","4.83867","0.354841","1.73955","0.371409","1.48027","1.19863","0.0375574","0.00316673","0.000676123","0.264612","0.002002","4058"
"blackscholes","1MB","8","LRU","4","106754214000","213508428","1.0","6.08578","0.398861","1.74124","0.37177","1.7563","2.44574","0.0815774","0.00486177","0.00103803","0.540642","0.001429","2852"
"blackscholes","2MB","8","LRU","4","106754214000","213508428","1.0","7.86746","0.421592","1.74368","0.372289","2.14207","4.22742","0.104309","0.00729206","0.00155692","0.926417","0.000982","1928"
"blackscholes","4MB","8","LRU","4","106754214000","213508428","1.0","12.1458","0.522893","1.74668","0.37293","3.07781","8.50577","0.20561","0.0102946","0.00219798","1.86215","0.000788","1496"
"blackscholes","8MB","8","LRU","4","106754214000","213508428","1.0","20.2101","0.69048","1.75119","0.373895","4.83634","16.57","0.373197","0.0148104","0.00316214","3.62068","0.000679","1133"
"bodytrack","256kB","8","LRU","4","184947841000","369773411","1.0","4.21513","0.333859","1.44599","0.534689","2.21678","0.575086","0.016576","0.00755162","0.00279239","0.221573","0.111976","1023359"
"bodytrack","512kB","8","LRU","4","184947841000","369773411","1.0","4.83867","0.354841","1.44881","0.535731","2.45615","1.19863","0.0375574","0.010368","0.00383379","0.460943","0.042216","378936"
"bodytrack","1MB","8","LRU","4","184947841000","369773411","1.0","6.08578","0.398861","1.45354","0.537481","2.93533","2.44574","0.0815774","0.0151004","0.00558374","0.940119","0.022989","199035"
"bodytrack","2MB","8","LRU","4","184947841000","369773411","1.0","7.86746","0.421592","1.45961","0.539724","3.6048","4.22742","0.104309","0.0211676","0.00782723","1.60958","0.012787","101655"
"bodytrack","4MB","8","LRU","4","184947841000","369773411","1.0","12.1458","0.522893","1.46482","0.541653","5.2262","8.50577","0.20561","0.0263841","0.00975613","3.23099","0.009918","67924"
"bodytrack","8MB","8","LRU","4","184947841000","369773411","1.0","20.2101","0.69048","1.47017","0.543631","8.2721","16.57","0.373197","0.0317334","0.0117342","6.27689","0.006653","35997"
"canneal","256kB","8","LRU","4","72792738000","145583694","1.0","4.21513","0.333859","1.37023","0.199483","0.861741","0.575086","0.016576","0.0319817","0.00465601","0.0907923","0.724681","5693030"
"canneal","512kB","8","LRU","4","72792738000","145583694","1.0","4.83867","0.354841","1.38617","0.201804","0.957894","1.19863","0.0375574","0.0479249","0.00697709","0.186946","0.660064","5156825"
"canneal","1MB","8","LRU","4","72792738000","145583694","1.0","6.08578","0.398861","1.39835","0.203577","1.14763","2.44574","0.0815774","0.0601025","0.00874995","0.376686","0.575349","4488572"
"canneal","2MB","8","LRU","4","72792738000","145583694","1.0","7.86746","0.421592","1.42035","0.206779","1.41353","4.22742","0.104309","0.0821017","0.0119527","0.642582","0.462082","3603165"
"canneal","4MB","8","LRU","4","72792738000","145583694","1.0","12.1458","0.522893","1.44385","0.210201","2.05456","8.50577","0.20561","0.105601","0.0153738","1.28361","0.331246","2569012"
"canneal","8MB","8","LRU","4","72792738000","145583694","1.0","20.2101","0.69048","1.46714","0.213591","3.25637","16.57","0.373197","0.128893","0.0187647","2.48542","0.187939","1455415"
"dedup","256kB","8","LRU","4","531302423500","1062605019","1.0","4.21513","0.333859","1.36135","1.44658","6.28036","0.575086","0.016576","0.00705012","0.0074915","0.636194","0.355648","7289467"
"dedup","512kB","8","LRU","4","531302423500","1062605019","1.0","4.83867","0.354841","1.36285","1.44817","6.96682","1.19863","0.0375574","0.00854598","0.00908101","1.32266","0.155975","2894854"
"dedup","1MB","8","LRU","4","531302423500","1062605019","1.0","6.08578","0.398861","1.36554","1.45103","8.34164","2.44574","0.0815774","0.0112353","0.0119387","2.69748","0.070049","1241263"
"dedup","2MB","8","LRU","4","531302423500","1062605019","1.0","7.86746","0.421592","1.37064","1.45645","10.2644","4.22742","0.104309","0.0163407","0.0173637","4.62028","0.046285","812486"
"dedup","4MB","8","LRU","4","531302423500","1062605019","1.0","12.1458","0.522893","1.37714","1.46335","14.9252","8.50577","0.20561","0.0228355","0.0242651","9.28102","0.035193","617404"
"dedup","8MB","8","LRU","4","531302423500","1062605019","1.0","20.2101","0.69048","1.38657","1.47338","23.6824","16.57","0.373197","0.0322687","0.0342889","18.0382","0.023539","413178"
"facesim","256kB","8","LRU","4","3375373751500","6750748210","1.0","4.21513","0.333859","2.11824","14.2997","45.0088","0.575086","0.016576","0.0200275","0.1352","4.12936","0.587264","161136996"
"facesim","512kB","8","LRU","4","3375373751500","6750748210","1.0","4.83867","0.354841","2.12924","14.3739","49.434","1.19863","0.0375574","0.0310256","0.209446","8.55463","0.569619","144798126"
"facesim","1MB","8","LRU","4","3375373751500","6750748210","1.0","6.08578","0.398861","2.13969","14.4445","58.2207","2.44574","0.0815774","0.0414824","0.280037","17.3413","0.556089","140839010"
"facesim","2MB","8","LRU","4","3375373751500","6750748210","1.0","7.86746","0.421592","2.15876","14.5733","70.5306","4.22742","0.104309","0.0605547","0.40879","29.6512","0.523627","132596089"
"facesim","4MB","8","LRU","4","3375373751500","6750748210","1.0","12.1458","0.522893","2.18055","14.7204","100.244","8.50577","0.20561","0.082343","0.555877","59.3642","0.436495","110524186"
"facesim","8MB","8","LRU","4","3375373751500","6750748210","1.0","20.2101","0.69048","2.21372","14.9443","156.039","16.57","0.373197","0.115508","0.779768","115.159","0.420141","106344827"
"ferret","256kB","8","LRU","4","462917321500","925835076","1.0","4.21513","0.333859","1.44359","1.33653","5.54814","0.575086","0.016576","0.00688117","0.00637083","0.554152","0.345791","5449951"
"ferret","512kB","8","LRU","4","462917321500","925835076","1.0","4.83867","0.354841","1.44579","1.33856","6.1469","1.19863","0.0375574","0.00908099","0.0084075","1.15291","0.209451","3247423"
