"bench","l2_size","l2_assoc","l2_tags","num_threads","sim_ticks","num_cycles","system_total_runtime_energy","l2_total_runtime_energy","l2_miss_rate","l2_replacements"
"blackscholes","256kB","8","LRU","1","426906007500","853812015","1.72097","0.505589","0.001995","3525"
"blackscholes","256kB","8","LRU","2","213485474000","426970948","1.46861","0.253076","0.00238","4785"
"blackscholes","256kB","8","LRU","4","106754214000","213508428","1.34243","0.126772","0.003965","7957"
"blackscholes","256kB","8","LRU","8","53828853000","107599481","1.2877","0.0640834","0.005653","10469"
"blackscholes","256kB","8","LRU","16","27065505000","54079906","1.26144","0.0324303","0.008422","15711"
"bodytrack","256kB","8","LRU","1","437734214500","875468440","1.80769","0.520702","0.084232","795609"
"bodytrack","256kB","8","LRU","2","248286054000","496572136","1.72176","0.29663","0.105595","987991"
"bodytrack","256kB","8","LRU","4","184947841000","369773411","2.21678","0.221573","0.111976","1023359"
"bodytrack","256kB","8","LRU","8","122623884500","244953866","2.70677","0.147712","0.112203","1023146"
"bodytrack","256kB","8","LRU","16","89546997500","178433178","3.71843","0.108488","0.135068","1264818"
"canneal","256kB","8","LRU","1","187558035500","375116071","0.754087","0.226501","0.718009","5519010"
"canneal","256kB","8","LRU","2","94261877500","188523778","0.646053","0.11616","0.722582","5608942"
"canneal","256kB","8","LRU","4","72792738000","145583694","0.861741","0.0907923","0.724681","5693030"
"canneal","256kB","8","LRU","8","47865847500","95679369","1.04751","0.0613201","0.727619","5789668"
"canneal","256kB","8","LRU","16","24523450000","48937663","1.04145","0.0336823","0.739889","5955424"
"dedup","256kB","8","LRU","1","1572506287500","3145012575","6.20787","1.86574","0.086893","1486784"
"dedup","256kB","8","LRU","2","906562011500","1813124050","5.99123","1.07923","0.205741","4076080"
"dedup","256kB","8","LRU","4","531302423500","1062605019","6.28036","0.636194","0.355648","7289467"
"dedup","256kB","8","LRU","8","283235386500","566364783","6.31492","0.343742","0.517947","11385775"
"dedup","256kB","8","LRU","16","277717386500","555311556","11.4315","0.338947","0.578943","14897325"
"facesim","256kB","8","LRU","1","12152255819500","24304511655","52.0865","14.5171","0.554504","146727263"
"facesim","256kB","8","LRU","2","6318609889000","12637220121","46.3901","7.6099","0.597985","147876036"
"facesim","256kB","8","LRU","4","3375373751500","6750748210","45.0088","4.12936","0.587264","161136996"
"facesim","256kB","8","LRU","8","1842026212500","3684053279","46.1341","2.32115","0.544319","169384013"
"facesim","256kB","8","LRU","16","1094861709500","2189724208","51.9255","1.43217","0.601515","174414055"
"ferret","256kB","8","LRU","1","1311506048000","2623012201","5.28479","1.5576","0.196734","3215990"
"ferret","256kB","8","LRU","2","760334110500","1520668503","5.12296","0.905386","0.289414","4272834"
"ferret","256kB","8","LRU","4","462917321500","925835076","5.54814","0.554152","0.345791","5449951"
"ferret","256kB","8","LRU","8","448150817500","896302178","9.59763","0.536911","0.396174","6176887"
"ferret","256kB","8","LRU","16","441594724500","883184773","17.7551","0.529231","0.390124","6171429"
"fluidanimate","256kB","8","LRU","1","979146326000","1958292652","3.99274","1.15976","0.510338","1141458"
"fluidanimate","256kB","8","LRU","2","504276583500","1008553167","3.51222","0.597914","0.473133","1176370"
"fluidanimate","256kB","8","LRU","4","261555871500","523110640","3.32567","0.310797","0.522123","1414273"
"fluidanimate","256kB","8","LRU","8","151858404500","303675579","3.6189","0.181047","0.565335","1700380"
"fluidanimate","256kB","8","LRU","16","86233627000","172332230","3.95388","0.103508","0.614015","2146799"
"freqmine","256kB","8","LRU","1","3456332066500","6912664691","13.6781","4.09633","0.255049","4354718"
"freqmine","256kB","8","LRU","2","2141826249500","4283652772","14.2145","2.54033","0.372346","5164833"
"freqmine","256kB","8","LRU","4","1332518984000","2665038472","15.713","1.58358","0.408887","6463983"
"freqmine","256kB","8","LRU","8","947266398000","1894533362","20.532","1.12884","0.426425","7976938"
"freqmine","256kB","8","LRU","16","766017550500","1532035710","31.3191","0.915384","0.451698","9521437"
"streamcluster","256kB","8","LRU","1","893006103500","1786012238","3.72204","1.06942","0.855552","16612767"
"streamcluster","256kB","8","LRU","2","594734494500","1189474975","4.08389","0.717078","0.799852","16970497"
"streamcluster","256kB","8","LRU","4","399367851500","796937005","4.85022","0.48612","0.672765","17257671"
"streamcluster","256kB","8","LRU","8","346496758000","691900639","7.67024","0.42625","0.49658","17245447"
"streamcluster","256kB","8","LRU","16","467135501500","933453667","19.2315","0.576105","0.27906","17584257"
"swaptions","256kB","8","LRU","1","650236892000","1300473787","2.64556","0.770551","0.002197","9463"
"swaptions","256kB","8","LRU","2","325194010000","650388024","2.26136","0.385964","0.002754","12894"
"swaptions","256kB","8","LRU","4","174747013500","347705633","2.18866","0.206935","0.011028","54829"
"swaptions","256kB","8","LRU","8","81668768000","163220576","1.98011","0.0979791","0.070746","360515"
"swaptions","256kB","8","LRU","16","153869967500","306489203","6.45377","0.182795","0.100614","520145"
"vips","256kB","8","LRU","1","2600829328000","5201659123","10.4152","3.08799","0.484269","10663618"
"vips","256kB","8","LRU","2","1350669851500","2701192204","9.17255","1.6094","0.561796","12785725"
"vips","256kB","8","LRU","4","784043728000","1568087819","9.52488","0.940185","0.664257","15619923"
"vips","256kB","8","LRU","8","640563823500","1280708008","14.0176","0.770647","0.693768","16795569"
"vips","256kB","8","LRU","16","624439218500","1248089530","25.4119","0.751974","0.697013","17756025"
"x264","256kB","8","LRU","1","4510413882000","9020828148","17.7631","5.35053","0.190146","7398166"
"x264","256kB","8","LRU","2","2759244526000","5517827377","18.0401","3.2775","0.250917","9012648"
