"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","topology","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_mpki","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"blackscholes","256kB","8","LRU","2","2","[2,2]","106753800500","213507601","1.0","4.79021","0.350435","1.73848","0.371179","1.46875","1.150172","0.033152","0.002092974","0.000446866","0.253095","0.007782571394100903","0.003872","6190","0.9963595000000001","1.0","9848"
"blackscholes","512kB","8","LRU","2","2","[2,2]","106753784500","213507569","1.0000001498775906","6.0373","0.392398","1.73957","0.371411","1.7442","2.39726","0.0751148","0.00318094","0.0006791550000000001","0.52855","0.006395879967371713","0.0031999999999999997","4179","0.9971464999999999","0.9993375","8183"
"blackscholes","1MB","8","LRU","2","2","[2,2]","106753886000","213507772","0.9999991990923871","8.53152","0.480438","1.74128","0.371777","2.2959","4.89148","0.1631548","0.0048937500000000005","0.001044853","1.080248","0.0053382980989164506","0.002686","2901","0.9991085","0.9996985","7800"
"blackscholes","2MB","8","LRU","2","2","[2,2]","106753580500","213507161","1.0000020608208078","12.0949","0.525901","1.74373","0.372299","3.06693","8.45484","0.208618","0.00734223","0.001567616","1.851278","0.0046894561116332285","0.0023625","2371","1.0","1.0","7601"
"blackscholes","4MB","8","LRU","2","2","[2,2]","106753580500","213507161","1.0000020608208078","20.6516","0.728504","1.74676","0.372946","4.93775","17.01154","0.41122","0.010373219999999999","0.0022147599999999996","3.7221","0.00452314672905283","0.0022805","1868","1.0","1.0","7077"
"blackscholes","8MB","8","LRU","2","2","[2,2]","106753580500","213507161","1.0000020608208078","36.7801","1.06368","1.75132","0.373919","8.45384","33.14","0.746394","0.014928239999999999","0.0031872899999999997","7.23819","0.004418910566731312","0.0022295","969","1.0","1.0","6319"
"bodytrack","256kB","8","LRU","2","2","[2,2]","184947729000","369775330","1.0","4.79021","0.350435","1.44591","0.534663","2.43555","1.150172","0.033152","0.007474679999999999","0.0027639500000000003","0.440328","1.0599967000316837","0.116249","935129","0.992787","0.9971595","1512474"
"bodytrack","512kB","8","LRU","2","2","[2,2]","184947729000","369775330","1.0","6.0373","0.392398","1.4489","0.535767","2.91331","2.39726","0.0751148","0.01045926","0.00386757","0.9180900000000001","0.4707505310569679","0.057093000000000005","373611","0.9941095","0.9983694999999999","740726"
"bodytrack","1MB","8","LRU","2","2","[2,2]","184947729000","369775330","1.0","8.53152","0.480438","1.45391","0.537619","3.87002","4.89148","0.1631548","0.01546631","0.00571906","1.8747989999999999","0.2851248898211985","0.034841500000000004","182603","0.9988904999999999","0.999044","444373"
"bodytrack","2MB","8","LRU","2","2","[2,2]","184947505000","369774882","1.0000012115479493","12.0949","0.525901","1.4614","0.540391","5.20724","8.45484","0.208618","0.02296049","0.008490210000000002","3.21202","0.20531542054909008","0.024534","104034","0.999798","0.9995765","308429"
"bodytrack","4MB","8","LRU","2","2","[2,2]","184947281000","369774434","1.0000024230988342","20.6516","0.728504","1.47082","0.543872","8.44968","17.01154","0.41122","0.0323767","0.01197209","6.45446","0.17399082280635766","0.0204555","65976","0.999876","0.999917","249606"
"bodytrack","8MB","8","LRU","2","2","[2,2]","184947281000","369774434","1.0000024230988342","36.7801","1.06368","1.48487","0.549066","14.5427","33.14","0.746394","0.0464243","0.01716646","12.547509999999999","0.150743995690624","0.017410000000000002","27284","1.0","1.0","192561"
"canneal","256kB","8","LRU","2","2","[2,2]","72778632000","145555482","1.0","4.79021","0.350435","1.37023","0.199444","0.947694","1.150172","0.033152","0.0318509","0.00463608","0.1768753","15.075000723742273","0.7164275","5615855","0.998448","0.9980125","7951607"
"canneal","512kB","8","LRU","2","2","[2,2]","72778659500","145555537","0.9999996221373564","6.0373","0.392398","1.38606","0.201749","1.13763","2.39726","0.0751148","0.0476858","0.0069409400000000005","0.366808","13.704224181819548","0.6515955","5099308","0.999131","0.9990365000000001","7205619"
"canneal","1MB","8","LRU","2","2","[2,2]","72778766000","145555750","0.9999981587810856","8.53152","0.480438","1.39846","0.203554","1.5153","4.89148","0.1631548","0.0600872","0.00874605","0.744477","12.024123455354397","0.5717245","4469306","0.999934","0.9998875","6333095"
"canneal","2MB","8","LRU","2","2","[2,2]","72778963000","145556144","0.9999954519267836","12.0949","0.525901","1.42063","0.206782","2.04381","8.45484","0.208618","0.0822633","0.011973919999999999","1.272993","9.699618618188568","0.46124750000000003","3593321","0.9999865","0.999973","5149130"
"canneal","4MB","8","LRU","2","2","[2,2]","72778963000","145556144","0.9999954519267836","20.6516","0.728504","1.44466","0.210279","3.32228","17.01154","0.41122","0.1062844","0.01547035","2.55146","6.942256379847555","0.33045800000000003","2546989","0.999966","0.999922","3752828"
"canneal","8MB","8","LRU","2","2","[2,2]","72778963000","145556144","0.9999954519267836","36.7801","1.06368","1.46965","0.213916","5.72231","33.14","0.746394","0.13127470000000002","0.01910781","4.95149","4.126529311880084","0.1973935","1468121","0.9998294999999999","0.9999035000000001","2354102"
"dedup","256kB","8","LRU","2","2","[2,2]","511563057000","1022496854","1.0","4.79021","0.350435","1.38675","1.41795","6.67424","1.150172","0.033152","0.00630696","0.00644884","1.216394","1.1864473794236796","0.209858","4045247","0.992672","0.9938210000000001","5772862"
"dedup","512kB","8","LRU","2","2","[2,2]","514268646000","1028527691","0.9941364369158243","6.0373","0.392398","1.38186","1.42128","8.0344","2.39726","0.0751148","0.007875739999999999","0.008100409999999999","2.5510099999999998","0.47712572077258164","0.1007315","1421187","0.994274","0.9952355","2408394"
"dedup","1MB","8","LRU","2","2","[2,2]","539831167500","1079137797","0.9475127799642811","8.53152","0.480438","1.36475","1.47275","11.1979","4.89148","0.1631548","0.01197899","0.01292698","5.46758","0.367211889177028","0.075248","887022","0.9984265","0.9988515","1919671"
"dedup","2MB","8","LRU","2","2","[2,2]","516681596000","1033314979","0.9895306608150892","12.0949","0.525901","1.39597","1.44248","14.4837","8.45484","0.208618","0.018354580000000002","0.018965990000000002","8.97105","0.3235188191764922","0.062342","704316","0.9994749999999999","0.9995449999999999","1685864"
"dedup","4MB","8","LRU","2","2","[2,2]","516681596000","1033314979","0.9895306608150892","20.6516","0.728504","1.40358","1.45034","23.5427","17.01154","0.41122","0.025967579999999997","0.02683264","18.03002","0.29504509474384805","0.056316","548059","0.999712","0.999752","1486624"
"dedup","8MB","8","LRU","2","2","[2,2]","516681596000","1033314979","0.9895306608150892","36.7801","1.06368","1.41481","1.46194","40.5665","33.14","0.746394","0.037190799999999996","0.0384299","35.053799999999995","0.27620085045264214","0.0515815","374543","0.9997895","0.999916","1264255"
"facesim","256kB","8","LRU","2","2","[2,2]","3375346063000","6750692833","1.0","4.79021","0.350435","2.11798","14.2978","49.0008","1.150172","0.033152","0.01976487","0.1334265","8.121680000000001","5.873420485371499","0.5738495","145673717","0.9998635","0.9998485","228388765"
