"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","topology","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_mpki","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"blackscholes","256kB","8","LRU","2","2","[2,2]","106753800500","213507601","1.0","4.79021","0.350435","1.73848","0.371179","1.46875","1.150172","0.033152","0.002092974","0.000446866","0.253095","0.007782571394100903","0.003872","6190","0.9963595000000001","1.0","9848"
"blackscholes","256kB","8","IbRDP","2","2","[2,2]","106753678500","213507357","1.0000011428177624","4.79021","0.350435","1.73848","0.371179","1.46875","1.150172","0.033152","0.002096499","0.000447618","0.253096","0.009717380408569993","0.004866","8221","0.9285034999999999","0.9943664999999999","12211"
"blackscholes","256kB","8","RRIP","2","2","[2,2]","106754314500","213508629","0.9999951852063085","4.79021","0.350435","1.73848","0.37118","1.46875","1.150172","0.033152","0.00209392","0.000447069","0.253097","0.00832951025365523","0.0041455","6981","0.992433","0.9957625","10516"
"bodytrack","256kB","8","LRU","2","2","[2,2]","184947729000","369775330","1.0","4.79021","0.350435","1.44591","0.534663","2.43555","1.150172","0.033152","0.007474679999999999","0.0027639500000000003","0.440328","1.0599967000316837","0.116249","935129","0.992787","0.9971595","1512474"
"bodytrack","256kB","8","IbRDP","2","2","[2,2]","184947761000","369775394","0.9999998269219612","4.79021","0.350435","1.44586","0.534644","2.43553","1.150172","0.033152","0.0074232","0.0027449099999999997","0.44030899999999995","1.0130183566465476","0.111705","912469","0.9638385","0.9916419999999999","1438973"
"bodytrack","256kB","8","RRIP","2","2","[2,2]","184947729000","369775330","1.0","4.79021","0.350435","1.44587","0.534646","2.43553","1.150172","0.033152","0.00742776","0.0027466","0.44031","1.0160986980997861","0.1125695","920028","0.951751","0.989756","1465547"
"canneal","256kB","8","LRU","2","2","[2,2]","72778632000","145555482","1.0","4.79021","0.350435","1.37023","0.199444","0.947694","1.150172","0.033152","0.0318509","0.00463608","0.1768753","15.075000723742273","0.7164275","5615855","0.998448","0.9980125","7951607"
"canneal","256kB","8","IbRDP","2","2","[2,2]","72778585500","145555389","1.0000006389320288","4.79021","0.350435","1.37042","0.199472","0.947721","1.150172","0.033152","0.0320441","0.0046642","0.1769034","15.23954529848213","0.7241095","5721601","0.9961565","0.998618","8026024"
"canneal","256kB","8","RRIP","2","2","[2,2]","72778513000","145555244","1.0000016351180037","4.79021","0.350435","1.36981","0.199384","0.947632","1.150172","0.033152","0.0314376","0.00457591","0.1768149","14.722586251309169","0.6998135","5586316","0.9943569999999999","0.999234","7716267"
"dedup","256kB","8","LRU","2","2","[2,2]","511563057000","1022496854","1.0","4.79021","0.350435","1.38675","1.41795","6.67424","1.150172","0.033152","0.00630696","0.00644884","1.216394","1.1864473794236796","0.209858","4045247","0.992672","0.9938210000000001","5772862"
"dedup","256kB","8","IbRDP","2","2","[2,2]","508358794000","1016671607","1.005729723304843","4.79021","0.350435","1.3937","1.41694","6.64329","1.150172","0.033152","0.00668726","0.00679875","1.20985","1.3244870289147754","0.229296","4837241","0.9855745","0.992985","6515837"
"dedup","256kB","8","RRIP","2","2","[2,2]","541174890500","1082304227","0.9447407008972164","4.79021","0.350435","1.35791","1.46967","7.03341","1.150172","0.033152","0.00660805","0.007151920000000001","1.287868","1.4158007345753278","0.23341800000000001","4961842","0.991314","0.9932595","6998159"
"facesim","256kB","8","LRU","2","2","[2,2]","3375346063000","6750692833","1.0","4.79021","0.350435","2.11798","14.2978","49.0008","1.150172","0.033152","0.01976487","0.1334265","8.121680000000001","5.873420485371499","0.5738495","145673717","0.9998635","0.9998485","228388765"
"facesim","256kB","8","IbRDP","2","2","[2,2]","3375341872500","6750684452","1.0000012415037407","4.79021","0.350435","2.11815","14.299","49.0019","1.150172","0.033152","0.01992259","0.1344909","8.12274","5.966817772168534","0.582973","161332960","0.9980335","0.9995965","231882801"
"facesim","256kB","8","RRIP","2","2","[2,2]","3375346063000","6750692833","1.0","4.79021","0.350435","2.11807","14.2984","49.0014","1.150172","0.033152","0.01985274","0.13401970000000002","8.12228","5.925454945578539","0.5789340000000001","155773142","0.995753","0.999705","229812372"
"ferret","256kB","8","LRU","2","2","[2,2]","462846140000","925692714","1.0","4.79021","0.350435","1.44288","1.33566","6.09432","1.150172","0.033152","0.0060652","0.00561451","1.101009","1.4687973812278186","0.248584","3943495","0.9929595","0.995563","6435701"
"ferret","256kB","8","IbRDP","2","2","[2,2]","462845852000","925692138","1.0000006222371092","4.79021","0.350435","1.44289","1.33568","6.09433","1.150172","0.033152","0.00607941","0.0056276699999999995","1.1010209999999998","1.4795713976692222","0.249431","4220467","0.9771540000000001","0.994235","6476880"
"ferret","256kB","8","RRIP","2","2","[2,2]","462845787000","925692008","1.000000762672675","4.79021","0.350435","1.443","1.33578","6.09443","1.150172","0.033152","0.00618859","0.00572873","1.1011220000000002","1.5611044032099566","0.2639355","4347601","0.9879205","0.994293","6803988"
"fluidanimate","256kB","8","LRU","2","2","[2,2]","261556791500","523112480","1.0","4.79021","0.350435","1.80864","0.946124","3.63526","1.150172","0.033152","0.0026162399999999997","0.001368587","0.62038","0.6993683622638577","0.5436395","1329566","0.9915339999999999","0.9976735000000001","2334060"
"fluidanimate","256kB","8","IbRDP","2","2","[2,2]","261556723500","523112344","1.000000259982395","4.79021","0.350435","1.80869","0.946147","3.63528","1.150172","0.033152","0.00266077","0.001391879","0.620403","0.7237654166958746","0.5625994999999999","1501172","0.971908","0.994589","2410231"
"fluidanimate","256kB","8","RRIP","2","2","[2,2]","261556723500","523112344","1.000000259982395","4.79021","0.350435","1.80868","0.946143","3.63528","1.150172","0.033152","0.00265251","0.001387558","0.6203989999999999","0.7192175675608063","0.559055","1461381","0.985579","0.9933810000000001","2395442"
"freqmine","256kB","8","LRU","2","2","[2,2]","1332521706000","2665043916","1.0","4.79021","0.350435","1.35322","3.60638","17.3064","1.150172","0.033152","0.008763","0.0233538","3.1769600000000002","3.7840249725279165","0.7345889999999999","5250365","0.9992725","0.999387","56063295"
"freqmine","256kB","8","IbRDP","2","2","[2,2]","1332522981500","2665046467","0.9999990427934253","4.79021","0.350435","1.35324","3.60644","17.3065","1.150172","0.033152","0.00878491","0.023412099999999998","3.1770199999999997","3.801295088606188","0.7380884999999999","5494421","0.99855","0.999147","56265731"
