"bench","l2_size","l2_assoc","l2_tags","num_domains","num_cpus_per_domain","topology","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_mpki","l2_miss_rate","l2_replacements","numa_cache_downward_miss_rate","numa_cache_upward_miss_rate","system_bus_snoops"
"blackscholes","256kB","8","LRU","2","1","[2,1]","213485547000","426971094","1.0","2.97019","0.191793","0.869281","0.371158","1.72123","1.150172","0.033152","0.0010603140000000001","0.000452724","0.505698","0.0056432476970612435","0.002805","3736","0.9864865","1.0","6643"
"blackscholes","256kB","8","LRU","2","2","[2,2]","106753800500","213507601","1.9997934125071266","4.79021","0.350435","1.73848","0.371179","1.46875","1.150172","0.033152","0.002092974","0.000446866","0.253095","0.007782571394100903","0.003872","6190","0.9963595000000001","1.0","9848"
"blackscholes","256kB","8","LRU","2","4","[2,4]","53828530000","107602717","3.968032647354063","8.43026","0.667718","3.46152","0.372469","1.35144","1.150172","0.033152","0.00417105","0.000448816","0.1277777","0.01101707689070761","0.00541","9079","0.998178","0.998984","18691"
"blackscholes","256kB","8","LRU","2","8","[2,8]","27065346000","54080546","7.8950958446314505","15.7103","1.30228","6.9044","0.373394","1.29345","1.150172","0.033152","0.00802533","0.00043401400000000004","0.06442880000000001","0.01818817242160469","0.009703","14896","0.9982505","0.9989835","24449"
"blackscholes","256kB","8","LRU","4","1","[4,1]","106753865000","213507730","1.999792204244783","5.94039","0.383587","1.73848","0.371179","1.7214","2.300344","0.066304","0.0020937910000000002","-0.999651832","0.505744","0.010062869864195878","0.0050219999999999996","5880","0.9990822500000001","-0.025064749999999997","9073"
"blackscholes","256kB","8","LRU","4","2","[4,2]","53826942500","107598974","3.968170681627503","9.58043","0.70087","3.46099","0.372399","1.47866","2.300344","0.066304","0.00379122","-0.999687359","0.2550568","0.013292330506088669","0.0075195","9053","0.99949375","-0.012410249999999984","12664"
"blackscholes","256kB","8","LRU","4","4","[4,4]","27064903500","54078244","7.895431922678554","16.8605","1.33544","6.90461","0.373389","1.35739","2.300344","0.066304","0.00806866","0.00043634","0.1284205","0.021906579081691604","0.011891","14437","0.999943","-0.019111250000000024","22862"
"bodytrack","256kB","8","LRU","2","1","[2,1]","248288184000","496576396","1.0","2.97019","0.191793","0.896944","0.445401","2.01557","1.150172","0.033152","0.0056681200000000004","0.00281466","0.590425","1.0675087414920734","0.10097300000000001","956045","0.9972255","0.999512","1281544"
"bodytrack","256kB","8","LRU","2","2","[2,2]","184947729000","369775330","1.3429138066079205","4.79021","0.350435","1.44591","0.534663","2.43555","1.150172","0.033152","0.007474679999999999","0.0027639500000000003","0.440328","1.0599967000316837","0.116249","935129","0.992787","0.9971595","1512474"
"bodytrack","256kB","8","LRU","2","4","[2,4]","122626242000","244960857","2.0271663076358357","8.43026","0.667718","2.54378","0.623127","2.85177","1.150172","0.033152","0.01130745","0.0027698899999999997","0.292638","1.0439856474770266","0.1004575","906929","0.9154905","0.9775670000000001","1205324"
"bodytrack","256kB","8","LRU","2","8","[2,8]","89548122000","178435427","2.782947334780105","15.7103","1.30228","4.41819","0.788361","3.82402","1.150172","0.033152","0.01616949","0.00288521","0.214032","1.2703509502782442","0.12513449999999998","1108908","0.9966005","0.997617","1577775"
"bodytrack","256kB","8","LRU","4","1","[4,1]","184945077000","369761729","1.3429632032037582","5.94039","0.383587","1.44581","0.534604","2.87297","2.300344","0.066304","0.007336569","0.002712784","0.877808","0.9237962666793677","0.196263","796687","0.9959817500000001","-0.007924250000000022","938534"
"bodytrack","256kB","8","LRU","4","2","[4,2]","134805619500","269320128","1.8438146442585976","9.58043","0.70087","2.44642","0.658871","3.42783","2.300344","0.066304","-0.98965468","-0.997213796","0.6401730000000001","0.9934352383030884","0.1650935","854160","0.991924","-0.011785249999999997","926338"
"bodytrack","256kB","8","LRU","4","4","[4,4]","89511954500","178362082","2.784091721916545","16.8605","1.33544","4.41875","0.788138","4.03361","2.300344","0.066304","0.01584815","0.002826711","0.424947","1.1065342965301785","0.10416875","925924","0.9899264999999999","-0.021941000000000016","1281389"
"canneal","256kB","8","LRU","2","1","[2,1]","94261880500","188523782","1.0","2.97019","0.191793","0.856394","0.161451","0.75756","1.150172","0.033152","0.0243089","0.0045828","0.227668","14.922812791190008","0.7129555000000001","5530999","0.999112","0.999145","8374268"
"canneal","256kB","8","LRU","2","2","[2,2]","72778632000","145555482","1.2952022102472238","4.79021","0.350435","1.37023","0.199444","0.947694","1.150172","0.033152","0.0318509","0.00463608","0.1768753","15.075000723742273","0.7164275","5615855","0.998448","0.9980125","7951607"
"canneal","256kB","8","LRU","2","4","[2,4]","51384742500","102725982","1.835210317093878","8.43026","0.667718","2.37515","0.24399","1.17859","1.150172","0.033152","0.045791","0.00470393","0.12626199999999999","15.236335113125937","0.724526","5739901","0.9994105","0.9994535","9315240"
"canneal","256kB","8","LRU","2","8","[2,8]","24523359500","48937482","3.852339235598595","15.7103","1.30228","4.86038","0.237855","1.07041","1.150172","0.033152","0.0968206","0.00473816","0.0626471","15.280955766882032","0.7371354999999999","5869551","0.990672","0.9888595","9081573"
"canneal","256kB","8","LRU","4","1","[4,1]","72731866000","145461950","1.2960350249670103","5.94039","0.383587","1.37072","0.199388","1.11929","2.300344","0.066304","0.031893410000000004","0.004639277","0.3488964","14.98042369620097","0.70690025","5582829","0.99995575","-0.002575250000000001","7206081"
"canneal","256kB","8","LRU","4","2","[4,2]","53775234000","107521245","1.75336308652304","9.58043","0.70087","2.33418","0.250974","1.35643","2.300344","0.066304","0.0431607","0.004640689999999999","0.2591056","15.129395567009638","0.7358082499999999","5672558","0.99981625","-0.0014490000000000058","6887945"
