"bench","l2_size","l2_assoc","l2_tags","num_threads","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_mpki","l2_miss_rate","l2_replacements"
"blackscholes","256kB","8","LRU","4","106754214000","213508428","1.0","4.21513","0.333859","1.73847","0.371178","1.34243","0.575086","0.016576","0.00208663","0.000445513","0.12677","0.007790765842530246","0.003965","7957"
"blackscholes","256kB","8","IbRDP","4","106753792500","213507585","1.0000039483374794","4.21513","0.333859","1.73848","0.371179","1.34242","0.575086","0.016576","0.00209433","0.000447156","0.126771","0.009528820553722152","0.004839","9538"
"blackscholes","256kB","8","RRIP","4","106754214000","213508428","1.0","4.21513","0.333859","1.73847","0.371178","1.34242","0.575086","0.016576","0.00208623","0.000445427","0.12677","0.007567068266474432","0.003851","7765"
"bodytrack","256kB","8","LRU","4","184947841000","369773411","1.0","4.21513","0.333859","1.44596","0.534679","2.21677","0.575086","0.016576","0.00752437","0.00278231","0.221563","1.128832421962494","0.111976","1023359"
"bodytrack","256kB","8","IbRDP","4","184947873000","369773475","0.9999998269210629","4.21513","0.333859","1.44582","0.534626","2.21672","0.575086","0.016576","0.00737986","0.00272888","0.22151","0.9970638340253369","0.098912","926736"
"bodytrack","256kB","8","RRIP","4","184947841000","369773411","1.0","4.21513","0.333859","1.44585","0.534636","2.21673","0.575086","0.016576","0.00740717","0.00273897","0.22152","1.0210052465217445","0.101294","952812"
"canneal","256kB","8","LRU","4","72792738000","145583694","1.0","4.21513","0.333859","1.37022","0.199481","0.86174","0.575086","0.016576","0.0319729","0.00465473","0.0907911","15.194860210800135","0.724681","5693030"
"canneal","256kB","8","IbRDP","4","72792664000","145583546","1.0000010165984006","4.21513","0.333859","1.37032","0.199496","0.861754","0.575086","0.016576","0.0320732","0.00466933","0.0908056","15.280199061532517","0.728751","5769619"
"canneal","256kB","8","RRIP","4","72792738000","145583694","1.0","4.21513","0.333859","1.36961","0.199392","0.861651","0.575086","0.016576","0.0313614","0.0045657","0.090702","14.673428398575075","0.699813","5609488"
"dedup","256kB","8","LRU","4","531302423500","1062605019","1.0","4.21513","0.333859","1.3613","1.44652","6.2803","0.575086","0.016576","0.00699596","0.00743394","0.636137","1.963786326970305","0.355648","7289467"
"dedup","256kB","8","IbRDP","4","520555954500","1041058429","1.020696811437084","4.21513","0.333859","1.37737","1.43392","6.16968","0.575086","0.016576","0.007582","0.0078933","0.623848","2.154472001374395","0.377559","8608003"
"dedup","256kB","8","RRIP","4","531302419500","1062605011","1.0000000075286677","4.21513","0.333859","1.36133","1.44656","6.28033","0.575086","0.016576","0.00702834","0.00746835","0.636171","1.9875970749132321","0.35997","7508724"
"facesim","256kB","8","LRU","4","3375373751500","6750748210","1.0","4.21513","0.333859","2.1182","14.2994","45.0085","0.575086","0.016576","0.0199898","0.134946","4.12911","6.00875056618882","0.587264","161136996"
"facesim","256kB","8","IbRDP","4","3375373417500","6750747542","1.0000000989520044","4.21513","0.333859","2.11828","14.3","45.009","0.575086","0.016576","0.020071","0.135494","4.12965","6.056937097386405","0.591974","164956789"
