"bench","l2_size","l2_assoc","l2_tags","num_threads","sim_ticks","num_cycles","speedup","system_subthreshold_leakage_power","system_gate_leakage_power","system_runtime_dynamic_power","system_runtime_dynamic_energy","system_total_runtime_energy","l2_subthreshold_leakage_power","l2_gate_leakage_power","l2_runtime_dynamic_power","l2_runtime_dynamic_energy","l2_total_runtime_energy","l2_mpki","l2_miss_rate","l2_replacements"
"blackscholes","256kB","8","LRU","1","426906007500","853812015","1.0","1.4851","0.0958967","0.434634","0.371096","1.72097","0.575086","0.016576","0.000491984","0.000420062","0.505588","0.003709247881709965","0.001995","3525"
"blackscholes","256kB","8","LRU","2","213485474000","426970948","1.9996958083433818","2.39511","0.175218","0.86928","0.371157","1.46861","0.575086","0.016576","0.001059","0.000452162","0.253075","0.00475775840852658","0.00238","4785"
"blackscholes","256kB","8","LRU","4","106754214000","213508428","3.9989616475467655","4.21513","0.333859","1.73847","0.371178","1.34243","0.575086","0.016576","0.00208663","0.000445513","0.12677","0.007790765842530246","0.003965","7957"
"blackscholes","256kB","8","LRU","8","53828853000","107599481","7.935094175779528","7.85517","0.651142","3.46117","0.37242","1.2877","0.575086","0.016576","0.00389903","0.000419533","0.0640821","0.01043162596498702","0.005653","10469"
"blackscholes","256kB","8","LRU","16","27065505000","54079906","15.78797150645935","15.1353","1.28571","6.90441","0.37339","1.26143","0.575086","0.016576","0.00798948","0.00043207","0.0324291","0.015912430152768105","0.008422","15711"
"bodytrack","256kB","8","LRU","1","437734214500","875468440","1.0","1.4851","0.0958967","0.483824","0.423572","1.80768","0.575086","0.016576","0.0030956","0.0027101","0.520691","0.8640638003467472","0.084232","795609"
"bodytrack","256kB","8","LRU","2","248286054000","496572136","1.7630236908822448","2.39511","0.175218","0.896952","0.445401","1.72175","0.575086","0.016576","0.00567176","0.00281644","0.296619","1.08931357766387","0.105595","987991"
"bodytrack","256kB","8","LRU","4","184947841000","369773411","2.367580831819192","4.21513","0.333859","1.44596","0.534679","2.21677","0.575086","0.016576","0.00752437","0.00278231","0.221563","1.128832421962494","0.111976","1023359"
"bodytrack","256kB","8","LRU","8","122623884500","244953866","3.574013565476856","7.85517","0.651142","2.54376","0.623104","2.70676","0.575086","0.016576","0.0113181","0.0027724","0.147702","1.1245090685473105","0.112203","1023146"
"bodytrack","256kB","8","LRU","16","89546997500","178433178","4.906421831482484","15.1353","1.28571","4.41833","0.788376","3.71842","0.575086","0.016576","0.0162917","0.00290698","0.108479","1.365542857850584","0.135068","1264818"
"canneal","256kB","8","LRU","1","187558035500","375116071","1.0","1.4851","0.0958967","0.429281","0.16103","0.754086","0.575086","0.016576","0.0121513","0.00455814","0.2265","14.89354098568174","0.718009","5519010"
"canneal","256kB","8","LRU","2","94261877500","188523778","1.9897546876023247","2.39511","0.175218","0.856571","0.161484","0.646051","0.575086","0.016576","0.024486","0.0046162","0.116159","15.122588033822229","0.722582","5608942"
"canneal","256kB","8","LRU","4","72792738000","145583694","2.5766352033902917","4.21513","0.333859","1.37022","0.199481","0.86174","0.575086","0.016576","0.0319729","0.00465473","0.0907911","15.194860210800135","0.724681","5693030"
"canneal","256kB","8","LRU","8","47865847500","95679369","3.9205533535656993","7.85517","0.651142","2.4418","0.23363","1.04751","0.575086","0.016576","0.0492154","0.00470889","0.0613187","15.294984184524978","0.727619","5789668"
"canneal","256kB","8","LRU","16","24523450000","48937663","7.665181539216533","15.1353","1.28571","4.86018","0.237846","1.04145","0.575086","0.016576","0.0965763","0.00472622","0.0336808","15.265960426127734","0.739889","5955424"
"dedup","256kB","8","LRU","1","1572506287500","3145012575","1.0","1.4851","0.0958967","0.392863","1.23556","6.2078","0.575086","0.016576","0.00155412","0.00488772","1.86567","0.44959739524594383","0.086893","1486784"
"dedup","256kB","8","LRU","2","906562011500","1813124050","1.7345821291157657","2.39511","0.175218","0.734006","1.33084","5.99116","0.575086","0.016576","0.00353451","0.0064085","1.07916","1.1708057077902496","0.205741","4076080"
"dedup","256kB","8","LRU","4","531302423500","1062605019","2.9597192924608238","4.21513","0.333859","1.3613","1.44652","6.2803","0.575086","0.016576","0.00699596","0.00743394","0.636137","1.963786326970305","0.355648","7289467"
"dedup","256kB","8","LRU","8","283235386500","566364783","5.552980463123181","7.85517","0.651142","2.64353","1.4972","6.31488","0.575086","0.016576","0.0151818","0.00859842","0.343695","2.818286854492841","0.517947","11385775"
"dedup","256kB","8","LRU","16","277717386500","555311556","5.663510044080552","15.1353","1.28571","4.16461","2.31266","11.4314","0.575086","0.016576","0.0186155","0.0103374","0.338894","3.504957394629042","0.578943","14897325"
"facesim","256kB","8","LRU","1","12152255819500","24304511655","1.0","1.4851","0.0958967","0.562079","13.6611","52.0863","0.575086","0.016576","0.00563154","0.136872","14.5169","6.038960693324781","0.554504","146727263"
"facesim","256kB","8","LRU","2","6318609889000","12637220121","1.9232482636439787","2.39511","0.175218","1.10057","13.9082","46.3899","0.575086","0.016576","0.0105036","0.132736","7.6097","6.01579261520975","0.597985","147876036"
"facesim","256kB","8","LRU","4","3375373751500","6750748210","3.6002693181471805","4.21513","0.333859","2.1182","14.2994","45.0085","0.575086","0.016576","0.0199898","0.134946","4.12911","6.00875056618882","0.587264","161136996"
"facesim","256kB","8","LRU","8","1842026212500","3684053279","6.597220456485152","7.85517","0.651142","4.01626","14.7961","46.1338","0.575086","0.016576","0.0383163","0.141159","2.32087","6.0345222956237805","0.544319","169384013"
"facesim","256kB","8","LRU","16","1094861709500","2189724208","11.09934829518951","15.1353","1.28571","7.29219","15.9679","51.9253","0.575086","0.016576","0.0622676","0.136349","1.43193","6.009292627759818","0.601515","174414055"
"ferret","256kB","8","LRU","1","1311506048000","2623012201","1.0","1.4851","0.0958967","0.433737","1.1377","5.28466","0.575086","0.016576","0.00210907","0.0055321","1.55747","1.2050533185636914","0.196734","3215990"
"ferret","256kB","8","LRU","2","760334110500","1520668503","1.7249072995365382","2.39511","0.175218","0.798482","1.21423","5.12284","0.575086","0.016576","0.00364346","0.0055405","0.905262","1.5825358565694423","0.289414","4272834"
"ferret","256kB","8","LRU","4","462917321500","925835076","2.833131158016312","4.21513","0.333859","1.44346","1.33641","5.54802","0.575086","0.016576","0.00675277","0.00625195","0.554033","1.9965020919039485","0.345791","5449951"
"ferret","256kB","8","LRU","8","448150817500","896302178","2.926482011739572","7.85517","0.651142","2.20159","1.97329","9.59752","0.575086","0.016576","0.00723997","0.0064892","0.536797","2.2435281367356112","0.396174","6176887"
"ferret","256kB","8","LRU","16","441594724500","883184773","2.9699472649309366","15.1353","1.28571","3.68244","3.25228","17.755","0.575086","0.016576","0.00743751","0.0065687","0.529116","2.2386832736154196","0.390124","6171429"
"fluidanimate","256kB","8","LRU","1","979146326000","1958292652","1.0","1.4851","0.0958967","0.457891","0.896685","3.99273","0.575086","0.016576","0.000566952","0.00111026","1.15976","0.5816873138166819","0.510338","1141458"
"fluidanimate","256kB","8","LRU","2","504276583500","1008553167","1.9416850951200275","2.39511","0.175218","0.912108","0.919909","3.51222","0.575086","0.016576","0.00117769","0.00118776","0.59791","0.5800061830375827","0.473133","1176370"
"fluidanimate","256kB","8","LRU","4","261555871500","523110640","3.743553470829804","4.21513","0.333859","1.80849","0.946041","3.32567","0.575086","0.016576","0.0024647","0.00128931","0.310794","0.6450789042192487","0.522123","1414273"
"fluidanimate","256kB","8","LRU","8","151858404500","303675579","6.4486339614421215","7.85517","0.651142","3.41066","1.03573","3.61889","0.575086","0.016576","0.0045125","0.00137034","0.181044","0.6713228151033738","0.565335","1700380"
"fluidanimate","256kB","8","LRU","16","86233627000","172332230","11.363473054343926","15.1353","1.28571","6.52238","1.12402","3.95388","0.575086","0.016576","0.00894771","0.00154198","0.103504","0.7417861600449732","0.614015","2146799"
"freqmine","256kB","8","LRU","1","3456332066500","6912664691","1.0","1.4851","0.0958967","0.397696","2.74914","13.678","0.575086","0.016576","0.00091522","0.00632661","4.09629","0.6170485331032561","0.255049","4354718"
"freqmine","256kB","8","LRU","2","2141826249500","4283652772","1.613731331396531","2.39511","0.175218","0.74797","3.20404","14.2144","0.575086","0.016576","0.00135857","0.00581966","2.54029","0.6626821349453973","0.372346","5164833"
"freqmine","256kB","8","LRU","4","1332518984000","2665038472","2.5938329835112413","4.21513","0.333859","1.34698","3.58976","15.713","0.575086","0.016576","0.00252907","0.00674008","1.58354","0.811297708038219","0.408887","6463983"
"freqmine","256kB","8","LRU","8","947266398000","1894533362","3.6487426559237335","7.85517","0.651142","2.33115","4.41644","20.5319","0.575086","0.016576","0.00415799","0.00787746","1.1288","0.9703325863585553","0.426425","7976938"
"freqmine","256kB","8","LRU","16","766017550500","1532035710","4.512078044838785","15.1353","1.28571","4.02182","6.16157","31.3191","0.575086","0.016576","0.00580178","0.00888853","0.915336","1.113166583764051","0.451698","9521437"
"streamcluster","256kB","8","LRU","1","893006103500","1786012238","1.0","1.4851","0.0958967","0.503","0.898364","3.72204","0.575086","0.016576","0.00711206","0.0127022","1.06942","9.262369944084815","0.855552","16612767"
"streamcluster","256kB","8","LRU","2","594734494500","1189474975","1.5015130839553812","2.39511","0.175218","0.863024","1.02655","4.08388","0.575086","0.016576","0.0111881","0.013308","0.717075","9.010771965754428","0.799852","16970497"
"streamcluster","256kB","8","LRU","4","399367851500","796937005","2.241095879341178","4.21513","0.333859","1.53708","1.22496","4.85021","0.575086","0.016576","0.0183098","0.0145917","0.486109","8.182553183501382","0.672765","17257671"
"streamcluster","256kB","8","LRU","8","346496758000","691900639","2.5813131789866723","7.85517","0.651142","2.57941","1.78469","7.67022","0.575086","0.016576","0.0243575","0.016853","0.426224","6.331318245214335","0.49658","17245447"
"streamcluster","256kB","8","LRU","16","467135501500","933453667","1.9133378561145018","15.1353","1.28571","4.18147","3.90321","19.2314","0.575086","0.016576","0.0254439","0.0237507","0.57604","3.743366899134757","0.27906","17584257"
"swaptions","256kB","8","LRU","1","650236892000","1300473787","1.0","1.4851","0.0958967","0.453284","0.589484","2.64552","0.575086","0.016576","0.000825467","0.0010735","0.770514","0.00706283806022543","0.002197","9463"
"swaptions","256kB","8","LRU","2","325194010000","650388024","1.9995352605078103","2.39511","0.175218","0.906557","0.589614","2.26132","0.575086","0.016576","0.00171846","0.00111767","0.385928","0.009198074431330413","0.002754","12894"
"swaptions","256kB","8","LRU","4","174747013500","347705633","3.7401573732916775","4.21513","0.333859","1.74548","0.606914","2.18862","0.575086","0.016576","0.00336111","0.00116868","0.206893","0.03799511236157176","0.011028","54829"
"swaptions","256kB","8","LRU","8","81668768000","163220576","7.96758484052893","7.85517","0.651142","3.6249","0.591658","1.98006","0.575086","0.016576","0.00835401","0.00136355","0.0979349","0.2571254991562993","0.070746","360515"
"swaptions","256kB","8","LRU","16","153869967500","306489203","4.243130832246642","15.1353","1.28571","4.63598","1.42088","6.45373","0.575086","0.016576","0.00462787","0.00141839","0.182756","0.22723912815022826","0.100614","520145"
"vips","256kB","8","LRU","1","2600829328000","5201659123","1.0","1.4851","0.0958967","0.421284","2.19137","10.4152","0.575086","0.016576","0.00198385","0.0103193","3.08794","1.9855819041708527","0.484269","10663618"
"vips","256kB","8","LRU","2","1350669851500","2701192204","1.9256901139049785","2.39511","0.175218","0.8254","2.22956","9.1725","0.575086","0.016576","0.0041321","0.0111616","1.60935","2.3195473323099174","0.561796","12785725"
"vips","256kB","8","LRU","4","784043728000","1568087819","3.317198858363174","4.21513","0.333859","1.52518","2.39162","9.52483","0.575086","0.016576","0.00787991","0.0123564","0.940134","2.7807902797854656","0.664257","15619923"
"vips","256kB","8","LRU","8","640563823500","1280708008","4.061549619825599","7.85517","0.651142","2.43884","3.12344","14.0175","0.575086","0.016576","0.0100335","0.01285","0.770596","2.9419766113108126","0.693768","16795569"
"vips","256kB","8","LRU","16","624439218500","1248089530","4.167697106633048","15.1353","1.28571","3.93966","4.91705","25.4119","0.575086","0.016576","0.0107956","0.0134739","0.751921","3.0622634703216787","0.697013","17756025"
"x264","256kB","8","LRU","1","4510413882000","9020828148","1.0","1.4851","0.0958967","0.388127","3.50123","17.7631","0.575086","0.016576","0.00146664","0.0132303","5.35051","0.794083265199837","0.190146","7398166"
"x264","256kB","8","LRU","2","2759244526000","5517827377","1.6348514608488087","2.39511","0.175218","0.699087","3.85744","18.04","0.575086","0.016576","0.00231797","0.0127902","3.27748","0.9445890405781304","0.250917","9012648"
"x264","256kB","8","LRU","4","2079262202500","4158403537","2.169300806844711","4.21513","0.333859","1.17463","4.88458","23.8011","0.575086","0.016576","0.00326692","0.0135852","2.47395","1.05159911462717","0.268634","10196890"
"x264","256kB","8","LRU","8","1858196206000","3714566585","2.4285008604846423","7.85517","0.651142","1.95964","7.27921","38.8765","0.575086","0.016576","0.00368881","0.0137023","2.21147","1.12063016825931","0.290631","10991397"
"x264","256kB","8","LRU","16","189573018500","377767719","23.87929855912331","15.1353","1.28571","3.75923","1.42012","7.62343","0.575086","0.016576","0.0106941","0.0040399","0.227551","1.3072588615691336","0.165841","2260274"
